276	Love the layout and ease of use but this app needs more supplements on ...	 - LG Optimus One 	 1.5.9	 - May 20, 2011
276	App downloaded nicely looks very thorough thank you . Epic 4g galaxy	 - Samsung Galaxy S 	 1.5.5	 - April 4, 2011
276	Great app, it's exactly what I was looking for! Thanks!		 - Version 1.5.1	 - March 8, 2011
77	Awesome, great idea, though I miss speed info and would like to have a ...	 - HTC Hero  	 1.0.0	 - June 16, 2011
77	The only app I actually use . Works a dream and records every workout. ...	 - HTC Desire 	 1.0.0	 - March 6, 2011
77	I won! Though, to be fair, the other guy didn't know we were racing. ...	 - Samsung Galaxy S 	 1.0.0	 - June 15, 2011
77	The very best out there when it comes to health and fitness! Love it! ...	 - Motorola Droid X2 	 1.0.0	 - May 7, 2010
77	Race	 - Samsung Galaxy S 	 1.0.0	 - September 30, 2011
77	Nice add on, could use features like name tracks and only use saved tracks ...	 - Motorola Droid 	 1.0.0	 - April 4, 2011
77	Won't work. Tells me either no gps was recorded during track ,or workout was ...	 - HTC G2 	 1.0.0	 - September 1, 2011
77	Very good and very addictive. 5 stars if it had split time so show ...	 - HTC myTouch 3G 	 1.0.0	 - March 22, 2010
77	As a woman over 40, i need all the motivation i can get. I ...		 - Version 1.0.0	 - August 3, 2010
77	Awesome. Just wish you could name workouts. Too hard to dig through by dates		 - Version 1.0.0	 - February 9, 2010
77	Awesome i have been training for my first triathlon and this is exactly what ...	 - Motorola Droid 	 1.0.0	 - March 6, 2010
77	A great add-on to the best exercise app. Sprint EVO.	 - HTC Evo 4G 	 1.0.0	 - August 2, 2010
77	Been using this since March 2011 totally awesome. Just have to remember to turn ...	 - HTC Sensation 4G 	 1.0.0	 - November 13, 2011
77	I love the C.T. app and this feature is awesome!!	 - HTC Evo 4G 	 1.0.0	 - April 19, 2011
77	Amazing!	 - Samsung Galaxy S 	 1.0.0	 - September 8, 2011
77	Would give it 5 stars but once I purchased, fails right at the end ...		 - Version 1.0.0	 - August 4, 2010
77	Doesn't work with Noom	 - HTC myTouch 4G 	 1.0.0	 - February 27, 2012
77	Great app but force closed on me once so far when I was about ...		 - Version 1.0.0	 - August 6, 2010
77	I love this , it works great. This is more fun than the Nike ...	 - Samsung Galaxy S 	 1.0.0	 - February 24, 2010
77	This works great since it's so motivating! I'm easily beating my previous times. ...	 - Motorola Droid 	 1.0.0	 - April 17, 2010
77	Motivating but crashes when used with FM radio on Droid X. Would be 5 ...	 - Motorola Droid X 	 1.0.0	 - July 28, 2010
77	After a couple of failed attempts it is working perfectly! Even had Pandora running ...		 - Version 1.0.0	 - July 6, 2010
77	Great app!	 - HTC EVO 3D 	 1.0.0	 - April 12, 2012
77	crashes every time, does not work		 - Version 1.0.0	 - May 8, 2010
77	I had to buy this portion of the app because everything else was perfect ...		 - Version 1.0.0	 - July 19, 2010
77	Used cardio trainer Several times with no issues. First two times I used racing ...	 - Motorola Droid X 	 1.0.0	 - September 5, 2010
77	Please include option to add track names! Other than that its great and worth ...	 - HTC Desire 	 1.0.0	 - March 3, 2011
77	Brilliant add on. Would be Execellent with more data on graph. Slight issue with ...	 - HTC Desire 	 1.0.0	 - February 1, 2011
77	Excellent add on. Really helps motivate me. Slight problem with the music ...	 - Samsung Galaxy S2 	 1.0.0	 - July 25, 2010
77	New desire upgrade, no voice feedback...keeps crashing after ...		 - Version 1.0.0	 - August 17, 2010
77	Seeing other posts I know I am not the only one losing workouts at ...	 - Motorola Droid 	 1.0.0	 - August 12, 2010
77	Love it, would like lead / lag to be time instead of distance.	 - Motorola Droid X 	 1.0.0	 - April 1, 2011
77	It always seems to end a race around 25m too early...	 - HTC Desire 	 1.0.0	 - May 10, 2010
77	Used it three times and every time I beat my mile time I love ...	 - HTC Evo 4G 	 1.0.0	 - November 19, 2011
77	Brilliant again, update has fixed crashing error and it now works great again.	 - HTC Desire 	 1.0.0	 - September 19, 2010
77	Would be great if it had zumba and wii workouts as cardio options!		 - Version 1.0.0	 - February 22, 2011
77	Outstanding. Cannot ask for better. Gps is very accurate. Well worth the money!		 - Version 1.0.0	 - April 23, 2010
77	I'm actually just using the free CardioTrainer, but I love this app so much ...		 - Version 1.0.0	 - March 24, 2010
77	5 star app, gives me that extra motivation to get fit and beat my ...	 - SEMC Xperia X10 	 1.0.0	 - July 8, 2010
77	really keeps u motivated the entire way. awesome app		 - Version 1.0.0	 - May 3, 2010
77	This is a Good application never had any problems	 - Samsung Galaxy S 	 1.0.0	 - November 6, 2010
